5000000, 0.2675388, 0.264884, 0.2687395
10000000, 0.52843, 0.5184862, 0.5170308
15000000, 0.8234591, 0.7983534, 0.8054831
20000000, 1.0405777, 1.0296174, 1.0311706
25000000, 1.355347, 1.306423, 1.2875231
30000000, 1.6043647, 1.5492097, 1.5893835
35000000, 1.8587798, 1.8362941, 1.8179799
40000000, 2.1151964, 2.1211515, 2.1511902
45000000, 2.3162024, 2.3123458, 2.3641716
50000000, 2.5596142, 2.5685991, 2.6143215
55000000, 2.8651365, 2.8350031, 2.828155
60000000, 3.1258328, 3.0805684, 3.3128586
65000000, 3.3424153, 3.4014236, 3.3979081
70000000, 3.593121, 3.6719045, 3.6523847
75000000, 3.8793878, 3.8480955, 3.9169937
80000000, 4.1110641, 4.2562452, 4.2606423
85000000, 4.3581244, 4.4757524, 4.4451399
90000000, 4.6025357, 4.6208687, 4.7868784
95000000, 4.8589606, 4.9101883, 4.8977282 
100000000, 5.1945345, 5.1747979, 5.1236834
105000000, 5.4208409, 5.4906227, 5.4628861
110000000, 5.7473438, 5.7186554, 5.6804234
115000000, 6.0724828, 6.0979702, 6.1400754
120000000, 6.2243729, 6.2502752, 6.2012366
125000000, 6.4197127, 6.484791, 6.4810206
130000000, 6.7784548, 6.6526083, 6.7044849
135000000, 6.9385655, 6.9539872, 7.0929263
140000000, 7.2230984, 7.3266885, 7.2620704
145000000, 7.4351761, 7.6397825, 7.5174384
150000000, 7.6904462, 7.7792969, 7.7488773
155000000, 7.9737905, 7.9981399, 7.9785805
160000000, 8.2161831, 8.1811657, 8.2415367
165000000, 8.4848015, 8.4955092, 8.4838566
170000000, 8.7626883, 8.848488, 8.9132485
175000000, 9.0281637, 8.9856117, 9.1705142
180000000, 9.2173803, 9.256332, 9.3506257
185000000, 9.5482695, 9.6041514, 9.5307251
190000000, 9.9853105, 9.7610365, 9.997267
195000000, 10.050706, 10.1551801, 10.1186477
200000000, 10.4880327, 10.4166885, 10.3813381
