1000000,0.233
2000000,0.458
3000000,0.938
4000000,0.929
5000000,1.117
6000000,1.359
7000000,1.531
8000000,1.824
9000000,2.046
10000000,2.28
11000000,2.53
12000000,2.78
13000000,3.015
14000000,3.234
15000000,3.468
16000000,3.999
17000000,3.905
18000000,4.187
19000000,4.374
20000000,4.421
21000000,4.64
22000000,5.014
23000000,5.108
24000000,5.295
25000000,5.53
26000000,6.514
27000000,6.077
28000000,6.42
29000000,6.607
30000000,6.998
31000000,7.388
32000000,7.388
33000000,7.561
34000000,7.623
35000000,7.779
36000000,7.998
37000000,8.935
38000000,8.857
39000000,9.81
40000000,9.623
41000000,9.216
42000000,9.372
43000000,9.685
44000000,10.528
45000000,10.279
46000000,10.873
47000000,12.919
48000000,10.716
49000000,11.06
50000000,11.013
