1000,0.007084
5000000,0.006504
10000000,0.007241
15000000,0.007299
20000000,0.006443
25000000,0.007285
30000000,0.006844
35000000,0.005846
40000000,0.005742
45000000,0.005902
50000000,0.007174
55000000,0.006942
60000000,0.007184
65000000,0.006815
70000000,0.007247
75000000,0.007156
80000000,0.005877
85000000,0.007434
90000000,0.007325
95000000,0.006238
100000000,0.007329
105000000,0.007104
110000000,0.007006
115000000,0.005472
120000000,0.007077
125000000,0.006248
130000000,0.006995
135000000,0.005985
140000000,0.005941
145000000,0.007115
150000000,0.007192
155000000,0.007473
160000000,0.006904
165000000,0.006923
170000000,0.007123
175000000,0.007193
180000000,0.007385
185000000,0.006077
190000000,0.007616
195000000,0.007408
200000000,0.006325
